journal_title,is_meta_n,is_meta_pct,not_meta_n,not_meta_pct,all_n,all_pct,latex_fmt
Biological Reviews,24,13.559322033898304,5,9.803921568627452,29,12.719298245614034,Biological Reviews & 24 & 13.6 & 5 & 9.8 & 29 & 12.7 \\
Oikos,22,12.429378531073446,2,3.9215686274509802,24,10.526315789473685,Oikos & 22 & 12.4 & 2 & 3.9 & 24 & 10.5 \\
Ecology Letters,19,10.734463276836157,1,1.9607843137254901,20,8.771929824561404,Ecology Letters & 19 & 10.7 & 1 & 2.0 & 20 & 8.8 \\
New Phytologist,18,10.169491525423728,5,9.803921568627452,23,10.087719298245615,New Phytologist & 18 & 10.2 & 5 & 9.8 & 23 & 10.1 \\
Ecology,13,7.344632768361582,9,17.647058823529413,22,9.649122807017545,Ecology & 13 & 7.3 & 9 & 17.6 & 22 & 9.6 \\
Journal of Applied Ecology,10,5.649717514124294,2,3.9215686274509802,12,5.2631578947368425,Journal of Applied Ecology & 10 & 5.6 & 2 & 3.9 & 12 & 5.3 \\
Molecular Ecology,10,5.649717514124294,5,9.803921568627452,15,6.578947368421052,Molecular Ecology & 10 & 5.6 & 5 & 9.8 & 15 & 6.6 \\
Oecologia,10,5.649717514124294,1,1.9607843137254901,11,4.824561403508772,Oecologia & 10 & 5.6 & 1 & 2.0 & 11 & 4.8 \\
Functional Ecology,9,5.084745762711864,1,1.9607843137254901,10,4.385964912280702,Functional Ecology & 9 & 5.1 & 1 & 2.0 & 10 & 4.4 \\
Journal of Ecology,7,3.9548022598870056,0,0,7,3.0701754385964914,Journal of Ecology & 7 & 4.0 & 0 & 0.0 & 7 & 3.1 \\
Journal of Animal Ecology,6,3.389830508474576,3,5.882352941176471,9,3.9473684210526314,Journal of Animal Ecology & 6 & 3.4 & 3 & 5.9 & 9 & 3.9 \\
Ecological Monographs,5,2.824858757062147,0,0,5,2.192982456140351,Ecological Monographs & 5 & 2.8 & 0 & 0.0 & 5 & 2.2 \\
Behavioral Ecology,4,2.2598870056497176,3,5.882352941176471,7,3.0701754385964914,Behavioral Ecology & 4 & 2.3 & 3 & 5.9 & 7 & 3.1 \\
Evolution,4,2.2598870056497176,0,0,4,1.7543859649122806,Evolution & 4 & 2.3 & 0 & 0.0 & 4 & 1.8 \\
Journal of Evolutionary Biology,4,2.2598870056497176,10,19.607843137254903,14,6.140350877192983,Journal of Evolutionary Biology & 4 & 2.3 & 10 & 19.6 & 14 & 6.1 \\
Animal Behaviour,3,1.694915254237288,2,3.9215686274509802,5,2.192982456140351,Animal Behaviour & 3 & 1.7 & 2 & 3.9 & 5 & 2.2 \\
Behavioral Ecology and Sociobiology,3,1.694915254237288,0,0,3,1.3157894736842106,Behavioral Ecology and Sociobiology & 3 & 1.7 & 0 & 0.0 & 3 & 1.3 \\
Ecological Applications,3,1.694915254237288,0,0,3,1.3157894736842106,Ecological Applications & 3 & 1.7 & 0 & 0.0 & 3 & 1.3 \\
The American Naturalist,3,1.694915254237288,1,1.9607843137254901,4,1.7543859649122806,The American Naturalist & 3 & 1.7 & 1 & 2.0 & 4 & 1.8 \\
The Quarterly Review of Biology,0,0,1,1.9607843137254901,1,0.43859649122807015,The Quarterly Review of Biology & 0 & 0.0 & 1 & 2.0 & 1 & 0.4 \\
Evolutionary Ecology,0,0,0,0,0,0,Evolutionary Ecology & 0 & 0.0 & 0 & 0.0 & 0 & 0.0 \\
Total,177,100,51,100,228,100,Total & 177 & 100.0 & 51 & 100.0 & 228 & 100.0 \\
