title,policy_2015,policy_2020,check_2021,latex_string
Animal Behaviour,-,-,E,Animal Behaviour & - & - & E \\
Behavioral Ecology,N,N,-,Behavioral Ecology & N & N & - \\
Behavioral Ecology and Sociobiology,N,N,-,Behavioral Ecology and Sociobiology & N & N & - \\
Biological Reviews,-,-,N.F.,Biological Reviews & - & - & N.F. \\
Ecological Applications,Y,M,-,Ecological Applications & Y & M & - \\
Ecological Monographs,Y,M,-,Ecological Monographs & Y & M & - \\
Ecology,Y,M,-,Ecology & Y & M & - \\
Ecology Letters,N,E/M,-,Ecology Letters & N & E/M & - \\
Evolution,N,M,-,Evolution & N & M & - \\
Evolutionary Ecology,N,E,-,Evolutionary Ecology & N & E & - \\
Functional Ecology,Y,E/M,-,Functional Ecology & Y & E/M & - \\
Journal of Animal Ecology,Y,E/M,-,Journal of Animal Ecology & Y & E/M & - \\
Journal of Applied Ecology,Y,E/M,-,Journal of Applied Ecology & Y & E/M & - \\
Journal of Ecology,Y,E/M,-,Journal of Ecology & Y & E/M & - \\
Journal of Evolutionary Biology,N,M,-,Journal of Evolutionary Biology & N & M & - \\
Molecular Ecology,Y,E,-,Molecular Ecology & Y & E & - \\
New Phytologist,-,-,N.F.,New Phytologist & - & - & N.F. \\
Oecologia,N,N,-,Oecologia & N & N & - \\
Oikos,N,N,-,Oikos & N & N & - \\
The American Naturalist,Y,E,-,The American Naturalist & Y & E & - \\
The Quarterly Review of Biology,-,-,N.F.,The Quarterly Review of Biology & - & - & N.F. \\
