search_id,software_details,software_pageref,version_specified,version_details,is_r_package,package_location,r_packages_mentioned,software_cited,citation_details,notes
MA003,R,1630,Y,3.2.3,N,N/A,N,N,NA,No packages mentioned
MA006,R,1445,N,NA,N,N/A,N,N,NA,Mentioned very briefly in authors' contributions section at end
MA011,R,1311,Y,3.2.1,N,N/A,Y,Y,"R Core Team. (2015). R: A language and environment for statistical computing. Vienna, Austria: R Foundation for Statistical Computing. Retrieved from http://www.R-project.org/",NA
MA011,lme4,1311,Y,1.1-8,Y,CRAN,N/A,Y,"Bates, D., Maechler, M., Bolker, B., & Walker, S. (2015). lme4: Linear mixed-effects models using Eigen and S4_. R package version 1.1-8. Retrieved from http://CRAN.R-project.org/package=lme4","In the text this package is mistakenly referred to as ""lmer"" instead of ""lme4"" but reference is correct"
MA013,R,1408,N,NA,N,N/A,Y,N,NA,NA
MA013,nlme,1408,Y,3.1-28,Y,CRAN,N/A,Y,"Pinheiro, J., Bates, D.M., DebRoy, S. & Sarkar, D. (2016) nlme: linear and mixed-effect models version 3.1-128. http://CRAN.R-project.org/package=nlme",NA
MA016,Python,1100,Y,2.7,N,N/A,N/A,Y,"Python Software Foundation, http://www.python.org","The Python code doesn't cover the meta-analysis results presented in the paper, it is for the simulation results"
MA019,R,1661,N,NA,N,N/A,Y,Y,"R Core Development Team ( 2014 ). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna. Available at http://www.R-project.org/. Accessed 3.11.2014.",NA
MA019,vegan,1659,Y,2.2-1,Y,CRAN,N/A,Y,"Oksanen,J.,Blanchet,F.G.,Kindt,R.,Legendre,P.,Minchin,P.R.,O’Hara, R. B., Simpson, G. L., Solymos, P., Henry, M., Stevens, H. & Wagner, H. ( 2015 ). Vegan: community ecology package. R package, version 2.2-1.",NA
MA019,ade4,1660,N,NA,Y,CRAN,N/A,Y,"Dray, S. & Dufour, A. B. ( 2007 ). The ade4 package: implementing the duality diagram for ecologists. Journal of Statistical Software 22, 1–20.",NA
MA022,Minitab,1177,N,NA,N,N/A,N/A,N,NA,No other details
MA023,R,1612,N,NA,N,N/A,Y,N,NA,NA
MA023,nlme,1612,Y,3.1-111,Y,CRAN,N/A,Y,"Pinheiro, J., Bates, D., DebRoy, S., Sarkar, D. & The R Development Core Team ( 2013 ). Nlme: linear and nonlinear mixed effects models. R package version 3.1-111.",NA
MA023,ape,1612,N,NA,Y,CRAN,N/A,Y,"Paradis, E., Claude, J. & Strimmer, K. ( 2004 ). APE: analyses of phylogenetics and evolution in R language. Bioinformatics 20, 289–290.",NA
MA025,SPSS/PASW,300,Y,22.0,N,N/A,N/A,T,"SPSS Inc., Chicago, IL, USA",NA
