search_id,Claim_MA_title,Claim_MA_abstract,Claim_MA_keywords,Claim_MA_body,Claim_MA_quote,Claim_MA_pageref,is_ma_flag,is_ma_flag_notes,Publication Year,Title,Publication Title,DOI,flag_cma,flag_mcmcglmm,flag_metafor,flag_metawin,any_software_specified,software_notes
MA001,Y,Y,Y,Y,"Here, we use meta-analysis to assess how reducing soil disturbance and periods without roots in agricultural systems affect the formation of AM and the diversity and community composition of arbuscular mycorrhizal fungi (AMF).",1785,Y,Straightforwardly claims to be a meta-analysis,2017,Ecological intensification and arbuscular mycorrhizas: a meta-analysis of tillage and cover crop effects,Journal of Applied Ecology,10.1111/1365-2664.12815,FALSE,FALSE,TRUE,FALSE,Y,NA
MA003,N,U,Y,Y,We thank those who contributed to the original studies that we used for the meta-analysis.,1636,Y,Text refers to revisiting previously published meta-analyses so can count as a meta-analysis itself - they mention checking pub bias for example,2017,Landscape properties affect biodiversity response to retention approaches in forestry,Journal of Applied Ecology,10.1111/1365-2664.12888,FALSE,FALSE,FALSE,FALSE,Y,NA
MA005,N,Y,N,Y,"Our results, a meta-analysis of 76 studies, directly contradict this assertion.",1485,Y,"The focus of the paper is on performing a phylogenetic meta-regression, rather than purely effect size aggregation",2017,No consistent pollinator-mediated impacts of alien plants on natives,Ecology Letters,10.1111/ele.12831,FALSE,FALSE,TRUE,FALSE,Y,NA
MA006,N,U,N,Y,Our meta-analysis showed that most species have Î¨close values that are higher than their Î¨50 or Î¨12 values (Fig. 1c and d).,1441,Y,They do refer to at least some of what they are doing as meta-analysis,2017,Plant resistance to drought depends on timely stomatal closure,Ecology Letters,10.1111/ele.12851,FALSE,FALSE,FALSE,FALSE,Y,Mentioned only in authors' contributions section at end
MA009,Y,Y,Y,Y,"Here, we used meta-analyses to test whether such expected positive relationship between sexual ornamentation and viability exists in the barn swallow Hirundo rustica, which is one of the most studied model species of sexual selection under field conditions.",1929,Y,Straightforwardly claims to be a meta-analysis,2017,Viability and expression of sexual ornaments in the barn swallow Hirundo rustica: a meta-analysis,Journal of Evolutionary Biology,10.1111/jeb.13151,FALSE,FALSE,TRUE,TRUE,Y,NA
MA010,Y,Y,N,Y,"Here, we conduct a global systematic review and metaanalysis of the effects of ungulate grazers on salt marsh EPs.",1396,Y,Straightforwardly claims to be a meta-analysis,2017,Livestock grazing alters multiple ecosystem properties and services in salt marshes: a meta-analysis,Journal of Applied Ecology,10.1111/1365-2664.12892,FALSE,FALSE,TRUE,FALSE,Y,NA
MA011,N,Y,N,Y,"We conducted a meta-analysis to test whether territory size decreases with increasing food abundance, and a mixed model analysis to test among three competing predictions",1308,Y,Straightforwardly claims to be a meta-analysis,2017,Territory size decreases minimally with increasing food abundance in stream salmonids: Implications for population regulation,Journal of Animal Ecology,10.1111/1365-2656.12737,FALSE,FALSE,FALSE,FALSE,Y,NA
MA013,N,Y,N,Y,"We reviewed the evidence for compensatory and depensatory regulation of 31 marine bird species, and conducted a meta-analysis to examine the functional shape of density-dependent population growth.",1406,Y,Straightforwardly claims to be a meta-analysis,2017,Density dependence and marine bird populations: are wind farm assessments precautionary?,Journal of Applied Ecology,10.1111/1365-2664.12841,FALSE,FALSE,FALSE,FALSE,Y,NA
MA014,Y,Y,N,Y,Here we address these issues by using a meta-analytical approach to examine the large number of published estimates of both the intra-specific and inter-specific phenotypic correlations between minMR and upperMR.,1730,Y,Straightforwardly claims to be a meta-analysis,2017,"Resting vs. active: a meta-analysis of the intra- and inter-specific associations between minimum, sustained, and maximum metabolic rates in vertebrates",Functional Ecology,10.1111/1365-2435.12879,FALSE,FALSE,TRUE,FALSE,Y,NA
MA015,Y,Y,"NA",Y,"Using these data, we conducted a meta-analysis to explore the influence of organismal and environmental characteristics on the magnitude of predator NCEs.",1233,Y,Straightforwardly claims to be a meta-analysis,2017,A meta-analysis of non-consumptive predator effects in arthropods: the influence of organismal and environmental characteristics,Oikos,10.1111/oik.04384,FALSE,FALSE,TRUE,TRUE,Y,NA
MA016,N,Y,N,Y,"We conducted a meta-analysis using data from studies that report both leaf ageing rate and the maximum light-saturated photosynthesis rate during leaf lifetime (Kitajima et al. 1997, 2002; Kikuzawa & Lechowicz 2006; Stefanescu 2006; Wu et al. 2016, 2017a, G.A. Martins unpublished data).",1099,Y,Straightforwardly claims to be a meta-analysis,2017,Variations of leaf longevity in tropical moist forests predicted by a trait-driven carbon optimality model,Ecology Letters,10.1111/ele.12804,FALSE,FALSE,FALSE,FALSE,Y,NA
