Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Bowles T.M., Jackson L.E., Loeher M., Cavagnaro T.R.","Ecological intensification and arbuscular mycorrhizas: a meta-analysis of tillage and cover crop effects",2017,"Journal of Applied Ecology","54","6",,"1785","1793",,,10.1111/1365-2664.12815,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996602367&doi=10.1111%2f1365-2664.12815&partnerID=40&md5=bd73e4df944ff56861b9d2713e5de7ae","Department of Environmental Science, Policy and Management, University of California Berkeley, Berkeley, CA, United States; Department of Land, Air and Water Resources, University of California Davis, Davis, CA, United States; The Waite Research Institute and School of Agriculture, Food and Wine, University of Adelaide, Waite Campus, PMB1, Glen Osmond, SA, Australia","Bowles, T.M., Department of Environmental Science, Policy and Management, University of California Berkeley, Berkeley, CA, United States; Jackson, L.E., Department of Land, Air and Water Resources, University of California Davis, Davis, CA, United States; Loeher, M., Department of Land, Air and Water Resources, University of California Davis, Davis, CA, United States; Cavagnaro, T.R., The Waite Research Institute and School of Agriculture, Food and Wine, University of Adelaide, Waite Campus, PMB1, Glen Osmond, SA, Australia","Reliance on ecosystem services instead of synthetic, non-renewable inputs is increasingly seen as key to achieving food security in an environmentally sustainable way. This process, known as ecological intensification, will depend in large part on enhancing below-ground biological interactions that facilitate resource use efficiency. Arbuscular mycorrhizas (AM), associations formed between the roots of most terrestrial plant species and a specialized group of soil fungi, provide valuable ecosystem services, but the full magnitude of these services may not be fully realized under conventional intensively managed annual agricultural systems. Here, we use meta-analysis to assess how reducing soil disturbance and periods without roots in agricultural systems affect the formation of AM and the diversity and community composition of arbuscular mycorrhizal fungi (AMF). We compiled data from 54 field studies across five continents that measured effects of tillage and/or cover cropping on AMF colonization and/or communities and assessed effects of management and environmental factors on these responses. Less intensive tillage and winter cover cropping similarly increased AMF colonization of summer annual cash crop roots by ∼30%. The key variables influencing the change in AMF colonization were the type of cover crop or the type of alternative tillage, suggesting that farmers can optimize combinations of tillage and cover crops that most enhance AM formation, particularly with no-till systems and legume cover crops. Richness of AMF taxa increased by 11% in low-intensity vs. conventional tillage regimes. Several studies showed changes in diversity and community composition of AMF with cover cropping, but these responses were not consistent. Synthesis and applications. This meta-analysis indicates that less intensive tillage and cover cropping are both viable strategies for enhancing root colonization from indigenous arbuscular mycorrhizal fungi (AMF) across a wide range of soil types and cash crop species, and possibly also shifting AMF community structure, which could in turn increase biologically based resource use in agricultural systems. © 2016 The Authors. Journal of Applied Ecology © 2016 British Ecological Society","arbuscular mycorrhizal fungi; below-ground biological interactions; cover crops; ecological intensification; ecosystem services; intensive agriculture; meta-analysis; soil biodiversity; tillage","agricultural intensification; arbuscular mycorrhiza; biodiversity; community composition; cover crop; cropping practice; ecological impact; ecosystem service; environmental disturbance; fungus; meta-analysis; root colonization; soil biota; soil ecosystem; soil-vegetation interaction; tillage; Fungi","Bowles, T.M.; Department of Environmental Science, Policy and Management, University of California BerkeleyUnited States; email: timothy.bowles@gmail.com",,"Blackwell Publishing Ltd",00218901,,JAPEA,,"English","J. Appl. Ecol.",Article,Scopus,2-s2.0-84996602367
"Jones S.K., Ripplinger J., Collins S.L.","Species reordering, not changes in richness, drives long-term dynamics in grassland communities",2017,"Ecology Letters","20","12",,"1556","1565",,,10.1111/ele.12864,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031108833&doi=10.1111%2fele.12864&partnerID=40&md5=bb71c4cfd41d1da7dcbd2102c62013f5","Department of Biology, University of New Mexico, Albuquerque, NM, United States; Department of Botany and Plant Sciences, University of California, Riverside, CA, United States","Jones, S.K., Department of Biology, University of New Mexico, Albuquerque, NM, United States; Ripplinger, J., Department of Botany and Plant Sciences, University of California, Riverside, CA, United States; Collins, S.L., Department of Biology, University of New Mexico, Albuquerque, NM, United States","Determining how ecological communities will respond to global environmental change remains a challenging research problem. Recent meta-analyses concluded that most communities are undergoing compositional change despite no net change in local species richness. We explored how species richness and composition of co-occurring plant, grasshopper, breeding bird and small mammal communities in arid and mesic grasslands changed in response to increasing aridity and fire frequency. In the arid system, grassland and shrubland plant and breeding bird communities were undergoing directional change, whereas grasshopper and small mammal communities were stable. In the mesic system, all communities were undergoing directional change regardless of fire frequency. Despite directional change in composition in some communities, species richness of all communities did not change because compositional change resulted more from reordering of species abundances than turnover in species composition. Thus, species reordering, not changes in richness, explains long-term dynamics in these grass and shrub dominated communities. © 2017 John Wiley & Sons Ltd/CNRS","Community dynamics; desert grassland; desert shrubland; fire; species reordering; species richness; tallgrass prairie","Aves; Mammalia","Collins, S.L.; Department of Biology, University of New MexicoUnited States; email: scollins@unm.edu",,"Blackwell Publishing Ltd",1461023X,,ECLEF,,"English","Ecol. Lett.",Letter,Scopus,2-s2.0-85031108833
"Mori A.S., Tatsumi S., Gustafsson L.","Landscape properties affect biodiversity response to retention approaches in forestry",2017,"Journal of Applied Ecology","54","6",,"1627","1637",,,10.1111/1365-2664.12888,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016556967&doi=10.1111%2f1365-2664.12888&partnerID=40&md5=ac5fc071b623034268158e746565df21","Graduate School of Environment and Information Sciences, Yokohama National University, Yokohama, Japan; Department of Ecology, Swedish University of Agricultural Sciences, Box 7044, Uppsala, Sweden","Mori, A.S., Graduate School of Environment and Information Sciences, Yokohama National University, Yokohama, Japan; Tatsumi, S., Graduate School of Environment and Information Sciences, Yokohama National University, Yokohama, Japan; Gustafsson, L., Department of Ecology, Swedish University of Agricultural Sciences, Box 7044, Uppsala, Sweden","Retention forestry, in which trees and tree patches are set aside at harvest to promote biodiversity, has been proven to have positive effects on biodiversity at the stand-level across different taxa. However, the effectiveness of retention approaches with regard to landscape composition remains unexplored. We linked the effect sizes from two meta-analyses (31 case studies and 1050 comparisons from boreal and temperate regions), which quantified the effectiveness of biodiversity conservation as a result of retention practices, with the stand property of retention level (the percentage of trees retained after logging) and with Landsat-retrieved landscape data on forest cover and spatial configurations at three spatial scales (1, 3, and 5 km radii). We found that, in addition to the fundamental importance of tree retention as a local-scale implementation for conservation, landscape properties were important in models to predict biodiversity responses. The effect sizes for species richness decreased with increasing patch contiguity within the landscapes at all spatial scales. Similar results were observed for abundance responses at the largest spatial scale. These results suggest that biodiversity responses to tree retention may be weaker in less fragmented landscapes, which is in agreement with theoretical and empirical findings from agricultural landscapes (‘the intermediate landscape-complexity hypothesis’). The benefits of retention levels within a stand (percentage of trees retained) varied amongst species with different habitat requirements (forest-dependent, open habitat, and generalist species). Whilst this stand-level property was often an important determinant of biodiversity responses, models that included landscape properties as explanatory variables always performed better than those that were only based on the retention levels for all species groups. Thus, within-stand habitat conditions and landscape configurations likely have synergetic influences on biodiversity responses. Synthesis and applications. In addition to the importance of stand-level properties, such as the action of retention harvesting itself and the number of trees retained, conditions in the surrounding landscape can simultaneously affect biodiversity in stands that are managed under retention forestry. Our study suggests that retention patches are particularly important in moderately fragmented landscapes. Retention practices could be less important in previously unlogged and less fragmented landscapes, where setting aside large reserves is a conservation priority. For highly fragmented landscapes, different actions of forest restoration, which are not limited to set-aside actions during logging, would be important. Our study emphasizes that carefully planned conservation schemes with a large-scale perspective, as well as local-scale actions, such as retention forestry, are critical for effective forest management and conservation planning. © 2017 The Authors. Journal of Applied Ecology © 2017 British Ecological Society","biodiversity; forest certification; habitat fragmentation; land-sharing; landownership; landscape heterogeneity; meta-analysis; nature-oriented forestry; retention forestry; set-aside action","abundance; agricultural land; biodiversity; conservation management; conservation planning; forest cover; forest management; forestry; habitat fragmentation; heterogeneity; landownership; landscape ecology; meta-analysis; species richness; tree","Mori, A.S.; Graduate School of Environment and Information Sciences, Yokohama National UniversityJapan; email: akira.s.mori@gmail.com",,"Blackwell Publishing Ltd",00218901,,JAPEA,,"English","J. Appl. Ecol.",Article,Scopus,2-s2.0-85016556967
"Mady R.P., Blumstein D.T.","Social security: are socially connected individuals less vigilant?",2017,"Animal Behaviour","134",,,"79","85",,,10.1016/j.anbehav.2017.10.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033219575&doi=10.1016%2fj.anbehav.2017.10.010&partnerID=40&md5=0bfd35816eeb47920cc778f034d4e299","Department of Biological Sciences, Towson University, Towson, MD, United States; The Rocky Mountain Biological Laboratory, Crested Butte, CO, United States; Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States","Mady, R.P., Department of Biological Sciences, Towson University, Towson, MD, United States, The Rocky Mountain Biological Laboratory, Crested Butte, CO, United States; Blumstein, D.T., The Rocky Mountain Biological Laboratory, Crested Butte, CO, United States, Department of Ecology and Evolutionary Biology, University of California Los Angeles, Los Angeles, CA, United States","Group size effects, whereby animals allocate less time to antipredator vigilance as a function of increasing numbers of animals foraging together, are reported in many taxa, but group size is but one of many social attributes that could increase an individual's perception of predation risk or what might be referred to as a ‘sense of security’. Indeed, meta-analyses suggest that group size only explains a small amount of variation in vigilance, and studies have shown that other social attributes, such as dominance status, also influence perceived risk and time allocated to vigilance. Social network analysis is an emerging technique to quantify a variety of specific social attributes, some of which have been suggested to influence ‘security’. Using the proportion of time looking as an indicator of vigilance and predation risk assessment, we tested the prediction that more socially connected yellow-bellied marmots, Marmota flaviventer, look less while foraging compared to their less socially connected counterparts. For females and males separately, we used observational data to create intrasexual, weighted social networks. We used principal component analysis to reduce correlated measures to unrelated and independent descriptions of connectedness. Using linear mixed effect models to account for potentially confounding variables, we found that no social network measure explained variation in vigilance. Social group size explained variation in female vigilance after accounting for variation due to vegetation height and date. Foraging group size and vegetation height explained variation in male vigilance. While social network measures themselves were not significant, our results mirror the fact that yellow-bellied marmots live in female-dominated societies and suggest that overall social group size is relatively more important for females than for males. Systematically studying whether and how social factors and intrasexual social relationships influence antipredator behaviour in other animals will create a better understanding of the benefits of sociality. © 2017 The Association for the Study of Animal Behaviour","antipredator behaviour; security; social attribute; social network; vigilance; yellow-bellied marmot","animal; defense mechanism; dominance; female; foraging behavior; group behavior; group size; male; male behavior; network analysis; perception; predation risk; principal component analysis; resource allocation; social network; vegetation structure; vigilance; Animalia; Marmota; Marmota flaviventris","Blumstein, D.T.; Department of Ecology and Evolutionary Biology, University of California, 621 Young Drive South, United States; email: marmots@ucla.edu",,"Academic Press",00033472,,ANBEA,,"English","Anim. Behav.",Article,Scopus,2-s2.0-85033219575
"Charlebois J.A., Sargent R.D.","No consistent pollinator-mediated impacts of alien plants on natives",2017,"Ecology Letters","20","11",,"1479","1490",,,10.1111/ele.12831,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031506700&doi=10.1111%2fele.12831&partnerID=40&md5=2f4f0dd2f39bfbe80b51958b2607fa6a","Department of Biology, University of Ottawa, Ottawa, ON, Canada","Charlebois, J.A., Department of Biology, University of Ottawa, Ottawa, ON, Canada; Sargent, R.D., Department of Biology, University of Ottawa, Ottawa, ON, Canada","The introduction of an alien plant is widely assumed to have negative consequences for the pollinator-mediated fitness of nearby natives. Indeed, a number of studies, including a highly cited meta-analysis, have concluded that the trend for such interactions is competitive. Here we provide evidence that publication bias and study design have obscured our ability to assess the pollinator-mediated impacts of alien plants. In a meta-analysis of 76 studies, we demonstrate that alien/native status does not predict the outcome of pollinator-mediated interactions among plants. Moreover, we found no evidence that similarity in floral traits or phylogenetic distance between species pairs influences the outcome of pollinator-mediated interactions. Instead, we report that aspects of study design, such as distance between the control and nearest neighbour, and/or the arrangement of study plants better predict the impact of a neighbour than does alien/native status. Our study sheds new light on the role that publication bias and experimental design play in the evaluation of key patterns in ecology. We conclude that, due to the absence of clear, generalisable pollinator-mediated impacts of alien species, management schemes should base decisions on community-wide assessments of the impacts of individual alien plant species, and not solely on alien/native status itself. © 2017 John Wiley & Sons Ltd/CNRS","Competition; experimental design; facilitation; invasive species; phylogenetic meta-regression; pollinator-mediated interactions; publication bias; seed set; visitation","experimental design; facilitation; interspecific competition; introduced species; native species; phylogenetics; plant; plant-pollinator interaction; seed set","Charlebois, J.A.; Department of Biology, University of OttawaCanada; email: julia.a.charlebois@gmail.com",,"Blackwell Publishing Ltd",1461023X,,ECLEF,,"English","Ecol. Lett.",Review,Scopus,2-s2.0-85031506700
"Martin-StPaul N., Delzon S., Cochard H.","Plant resistance to drought depends on timely stomatal closure",2017,"Ecology Letters","20","11",,"1437","1447",,,10.1111/ele.12851,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031508807&doi=10.1111%2fele.12851&partnerID=40&md5=564dde608d6ecbf376031d27e6f5cace","URFM, INRA, Avignon, France; BIOGECO, INRA, Univ. Bordeaux, Pessac, France; Université Clermont-Auvergne, INRA, PIAF, Clermont-Ferrand, France","Martin-StPaul, N., URFM, INRA, Avignon, France; Delzon, S., BIOGECO, INRA, Univ. Bordeaux, Pessac, France; Cochard, H., Université Clermont-Auvergne, INRA, PIAF, Clermont-Ferrand, France","Stomata play a significant role in the Earth's water and carbon cycles, by regulating gaseous exchanges between the plant and the atmosphere. Under drought conditions, stomatal control of transpiration has long been thought to be closely coordinated with the decrease in hydraulic capacity (hydraulic failure due to xylem embolism). We tested this hypothesis by coupling a meta-analysis of functional traits related to the stomatal response to drought and embolism resistance with simulations from a soil–plant hydraulic model. We report here a previously unreported phenomenon: the existence of an absolute limit by which stomata closure must occur to avoid rapid death in drought conditions. The water potential causing stomatal closure and the xylem pressure at the onset of embolism formation were equal for only a small number of species, and the difference between these two traits (i.e. safety margins) increased continuously with increasing embolism resistance. Our findings demonstrate the need to revise current views about the functional coordination between stomata and hydraulic traits and provide a mechanistic framework for modeling plant mortality under drought conditions. © 2017 John Wiley & Sons Ltd/CNRS","Dieback; drought; stomata; tree mortality; xylem embolism",,"Delzon, S.; BIOGECO, INRA, Univ. BordeauxFrance; email: sylvain.delzon@u-bordeaux.fr",,"Blackwell Publishing Ltd",1461023X,,ECLEF,,"English","Ecol. Lett.",Letter,Scopus,2-s2.0-85031508807
"Pironon S., Papuga G., Villellas J., Angert A.L., García M.B., Thompson J.D.","Geographic variation in genetic and demographic performance: new insights from an old biogeographical paradigm",2017,"Biological Reviews","92","4",,"1877","1909",,,10.1111/brv.12313,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005790412&doi=10.1111%2fbrv.12313&partnerID=40&md5=89cea74c02f113af2fea019959678315","Instituto Pirenaico de Ecología (IPE-CSIC), Box 1005, avenida, Montañana, Zaragoza, Spain; UMR 5175 Centre d'Ecologie Fonctionnelle et Evolutive, CNRS, Box 1019, route de Mende, Montpellier, France; Dipartimento di Scienze della Natura e del Territorio, Università degli Studi di Sassari, Piazza Universitá, Box 21, Sassari, Italy; Department of Biology, Duke University, Box 90338, Durham, NC, United States; Departments of Botany and Zoology, University of British Columbia, Box 4200-6270, University Boulevard, Vancouver, Canada","Pironon, S., Instituto Pirenaico de Ecología (IPE-CSIC), Box 1005, avenida, Montañana, Zaragoza, Spain; Papuga, G., UMR 5175 Centre d'Ecologie Fonctionnelle et Evolutive, CNRS, Box 1019, route de Mende, Montpellier, France, Dipartimento di Scienze della Natura e del Territorio, Università degli Studi di Sassari, Piazza Universitá, Box 21, Sassari, Italy; Villellas, J., Department of Biology, Duke University, Box 90338, Durham, NC, United States; Angert, A.L., Departments of Botany and Zoology, University of British Columbia, Box 4200-6270, University Boulevard, Vancouver, Canada; García, M.B., Instituto Pirenaico de Ecología (IPE-CSIC), Box 1005, avenida, Montañana, Zaragoza, Spain; Thompson, J.D., UMR 5175 Centre d'Ecologie Fonctionnelle et Evolutive, CNRS, Box 1019, route de Mende, Montpellier, France","The ‘centre–periphery hypothesis’ (CPH) is a long-standing postulate in ecology that states that genetic variation and demographic performance of a species decrease from the centre to the edge of its geographic range. This hypothesis is based on an assumed concordance between geographical peripherality and ecological marginality such that environmental conditions become harsher towards the limits of a species range. In this way, the CPH sets the stage for understanding the causes of distribution limits. To date, no study has examined conjointly the consistency of these postulates. In an extensive literature review we discuss the birth and development of the CPH and provide an assessment of the CPH by reviewing 248 empirical studies in the context of three main themes. First, a decrease in species occurrence towards their range limits was observed in 81% of studies, while only 51% demonstrated reduced abundance of individuals. A decline in genetic variation, increased differentiation among populations and higher rates of inbreeding were demonstrated by roughly one in two studies (47, 45 and 48%, respectively). However, demographic rates, size and population performance less often followed CPH expectations (20–30% of studies). We highlight the impact of important methodological, taxonomic, and biogeographical biases on such validation rates. Second, we found that geographic and ecological marginality gradients are not systematically concordant, which casts doubt on the reliability of a main assumption of the CPH. Finally, we attempt to disentangle the relative contribution of geographical, ecological and historical processes on the spatial distribution of genetic and demographic parameters. While ecological marginality gradients explain variation in species' demographic performance better than geographic gradients, contemporary and historical factors may contribute interactively to spatial patterns of genetic variation. We thereby propose a framework that integrates species' ecological niche characteristics together with current and past range structure to investigate spatial patterns of genetic and demographic variation across species ranges. © 2016 Cambridge Philosophical Society","abundant-center model; centre-periphery hypothesis; demography; ecological marginality; genetic diversity; meta-analysis; range limits; rear-leading edge; species distribution",,"Papuga, G.; UMR 5175 Centre d'Ecologie Fonctionnelle et Evolutive, CNRS, Box 1019, route de Mende, France; email: guillaume.papuga@gmail.com",,"Blackwell Publishing Ltd",14647931,,,,"English","Biol. Rev.",Article,Scopus,2-s2.0-85005790412
"Forstmeier W., Wagenmakers E.-J., Parker T.H.","Detecting and avoiding likely false-positive findings – a practical guide",2017,"Biological Reviews","92","4",,"1941","1968",,2,10.1111/brv.12315,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006002074&doi=10.1111%2fbrv.12315&partnerID=40&md5=517a77d2ded1dc927cc2acc5cfeb346b","Department of Behavioural Ecology and Evolutionary Genetics, Max Planck Institute for Ornithology, Seewiesen, Germany; Department of Psychology, University of Amsterdam, PO Box 15906, Amsterdam, Netherlands; Department of Biology, Whitman College, Walla Walla, WA, United States","Forstmeier, W., Department of Behavioural Ecology and Evolutionary Genetics, Max Planck Institute for Ornithology, Seewiesen, Germany; Wagenmakers, E.-J., Department of Psychology, University of Amsterdam, PO Box 15906, Amsterdam, Netherlands; Parker, T.H., Department of Biology, Whitman College, Walla Walla, WA, United States","Recently there has been a growing concern that many published research findings do not hold up in attempts to replicate them. We argue that this problem may originate from a culture of ‘you can publish if you found a significant effect’. This culture creates a systematic bias against the null hypothesis which renders meta-analyses questionable and may even lead to a situation where hypotheses become difficult to falsify. In order to pinpoint the sources of error and possible solutions, we review current scientific practices with regard to their effect on the probability of drawing a false-positive conclusion. We explain why the proportion of published false-positive findings is expected to increase with (i) decreasing sample size, (ii) increasing pursuit of novelty, (iii) various forms of multiple testing and researcher flexibility, and (iv) incorrect P-values, especially due to unaccounted pseudoreplication, i.e. the non-independence of data points (clustered data). We provide examples showing how statistical pitfalls and psychological traps lead to conclusions that are biased and unreliable, and we show how these mistakes can be avoided. Ultimately, we hope to contribute to a culture of ‘you can publish if your study is rigorous’. To this end, we highlight promising strategies towards making science more objective. Specifically, we enthusiastically encourage scientists to preregister their studies (including a priori hypotheses and complete analysis plans), to blind observers to treatment groups during data collection and analysis, and unconditionally to report all results. Also, we advocate reallocating some efforts away from seeking novelty and discovery and towards replicating important research findings of one's own and of others for the benefit of the scientific community as a whole. We believe these efforts will be aided by a shift in evaluation criteria away from the current system which values metrics of ‘impact’ almost exclusively and towards a system which explicitly values indices of scientific rigour. © 2016 The Authors. Biological Reviews published by John Wiley & Sons Ltd on behalf of Cambridge Philosophical Society.","confirmation bias; HARKing; hindsight bias; overfitting; P-hacking; power; preregistration; replication; researcher degrees of freedom; Type I error",,"Forstmeier, W.; Department of Behavioural Ecology and Evolutionary Genetics, Max Planck Institute for OrnithologyGermany; email: forstmeier@orn.mpg.de",,"Blackwell Publishing Ltd",14647931,,,,"English","Biol. Rev.",Article,Scopus,2-s2.0-85006002074
"Romano A., Saino N., Møller A.P.","Viability and expression of sexual ornaments in the barn swallow Hirundo rustica: a meta-analysis",2017,"Journal of Evolutionary Biology","30","10",,"1929","1935",,,10.1111/jeb.13151,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030654031&doi=10.1111%2fjeb.13151&partnerID=40&md5=2cfa2be2d35520a912d0bb2d5cd91550","Department of Environmental Science and Policy, Università degli Studi di Milano, Milano, Italy; Ecologie Systématique Evolution, CNRS, Université Paris-Sud, AgroParisTech, Université Paris-Saclay, Orsay, France","Romano, A., Department of Environmental Science and Policy, Università degli Studi di Milano, Milano, Italy; Saino, N., Department of Environmental Science and Policy, Università degli Studi di Milano, Milano, Italy; Møller, A.P., Ecologie Systématique Evolution, CNRS, Université Paris-Sud, AgroParisTech, Université Paris-Saclay, Orsay, France","Sexual selection results in the evolution of exaggerated secondary sexual characters that can entail a viability cost. However, in species where sexual ornaments honestly reflect individual quality, the viability cost of secondary sexual characters may be overwhelmed by variation in individual quality, leading to expect that individuals with the largest secondary sexual characters show higher, rather than lower viability. Here, we used meta-analyses to test whether such expected positive relationship between sexual ornamentation and viability exists in the barn swallow Hirundo rustica, which is one of the most studied model species of sexual selection under field conditions. We found a mean positive effect size of viability in relation to the expression of secondary sexual characters of 0.181 (CI: 0.084–0.278), indicating that in this species the more ornamented individuals are more viable, and therefore of high quality. Analyses of moderator variables showed similar effects in males and females, the H. r. rustica subspecies rather than others and tail length rather than other secondary sexual characters. Future research emphasis on other subspecies than the European one and secondary sexual characters than tail length may help identify the sources of heterogeneity in effect sizes. © 2017 European Society For Evolutionary Biology. Journal of Evolutionary Biology © 2017 European Society For Evolutionary Biology","barn swallow; Hirundo rustica; meta-analysis; secondary sexual characters; sexual selection; subspecies; survival; viability","evolutionary biology; gene expression; meta-analysis; ornamentation; passerine; secondary sexual characteristics; sexual selection; subspecies; survival; viability; Hirundo; Hirundo rustica","Romano, A.; Department of Environmental Science and Policy, Università degli Studi di MilanoItaly; email: andrea.romano@unimi.it",,"Blackwell Publishing Ltd",1010061X,,JEBIE,,"English","J. Evol. Biol.",Article,Scopus,2-s2.0-85030654031
"Davidson K.E., Fowler M.S., Skov M.W., Doerr S.H., Beaumont N., Griffin J.N.","Livestock grazing alters multiple ecosystem properties and services in salt marshes: a meta-analysis",2017,"Journal of Applied Ecology","54","5",,"1395","1405",,2,10.1111/1365-2664.12892,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017340097&doi=10.1111%2f1365-2664.12892&partnerID=40&md5=e66bc4f135ab94263b6ef51f58afee00","College of Science, Swansea University, Wallace Building, Singleton Park, Swansea, United Kingdom; School of Ocean Sciences, Bangor University, Menai Bridge, Anglesey, United Kingdom; Plymouth Marine Laboratory, Prospect Place, The Hoe, Plymouth, United Kingdom","Davidson, K.E., College of Science, Swansea University, Wallace Building, Singleton Park, Swansea, United Kingdom; Fowler, M.S., College of Science, Swansea University, Wallace Building, Singleton Park, Swansea, United Kingdom; Skov, M.W., School of Ocean Sciences, Bangor University, Menai Bridge, Anglesey, United Kingdom; Doerr, S.H., College of Science, Swansea University, Wallace Building, Singleton Park, Swansea, United Kingdom; Beaumont, N., Plymouth Marine Laboratory, Prospect Place, The Hoe, Plymouth, United Kingdom; Griffin, J.N., College of Science, Swansea University, Wallace Building, Singleton Park, Swansea, United Kingdom","The far-reaching impacts of livestock grazing in terrestrial grasslands are widely appreciated, but how livestock affect the structure and functions of sensitive coastal ecosystems has hitherto lacked synthesis. Grazing-induced changes in salt marshes have the potential to alter the provision of valuable ecosystem services, such as coastal protection, blue carbon and biodiversity conservation. To investigate how livestock alter soil, vegetation and faunal properties in salt marshes, we conducted a global meta-analysis of ungulate grazer impacts on commonly measured ecosystem properties (498 individual responses from 89 studies). We also tested stocking density, grazing duration, grazer identity, continent and vegetation type as potential modifiers of the grazing effect. The majority of studies were conducted in Europe (75) or the Americas (12), and investigated cattle (43) or sheep (22) grazing. All measures of above-ground plant material (height, cover, above-ground biomass, litter) were decreased by grazing, potentially impairing coastal protection through diminished wave attenuation. Soil carbon was reduced by grazing in American, but not European marshes, indicating a trade-off with climate regulation that varies geographically. Additionally, grazing increased soil bulk density, salinity and daytime temperature, and reduced redox potential. Biodiversity responses depended on focal group, with positive effects of grazing on vegetation species richness, but negative effects on invertebrate richness. Grazing reduced the abundance of herbivorous invertebrates, which may affect fish and crustaceans that feed in the marsh. Overall vertebrate abundance was not affected, but there was provisional evidence for increases over a longer duration of grazing, potentially increasing birdwatching and wildfowling opportunities. Synthesis and applications. Our results reveal that the use of salt marshes for livestock production affects multiple ecosystem properties, creating trade-offs and synergies with other ecosystem services. Grazing leads to reductions in blue carbon in the Americas but not in Europe. Grazing may compromise coastal protection and the provision of a nursery habitat for fish while creating provisioning and cultural benefits through increased wildfowl abundance. These findings can inform salt marsh grazing management, based on local context and desired ecosystem services. © 2017 The Authors. Journal of Applied Ecology © 2017 British Ecological Society","biodiversity; blue carbon; cattle; coastal protection; ecosystem service trade-offs; grasslands; horses; sheep; soil; vegetation","abundance; biodiversity; cattle; coastal protection; coastal zone; conservation status; crustacean; ecosystem service; fish; gamebird; grassland; horse; livestock; livestock farming; meta-analysis; phytomass; saltmarsh; sheep; species richness; stocking density; vegetation type; Central America; Europe; North America; South America; Bos; Crustacea; Equidae; Invertebrata; Ovis aries; Ungulata; Vertebrata","Davidson, K.E.; College of Science, Swansea University, Wallace Building, Singleton Park, United Kingdom; email: davidsonke@hotmail.co.uk",,"Blackwell Publishing Ltd",00218901,,JAPEA,,"English","J. Appl. Ecol.",Review,Scopus,2-s2.0-85017340097
