"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R3PZU9YX","journalArticle","2015","Siefert, Andrew; Violle, Cyrille; Chalmandrier, Loïc; Albert, Cécile H.; Taudiere, Adrien; Fajardo, Alex; Aarssen, Lonnie W.; Baraloto, Christopher; Carlucci, Marcos B.; Cianciaruso, Marcus V.; de L. Dantas, Vinícius; de Bello, Francesco; Duarte, Leandro D. S.; Fonseca, Carlos R.; Freschet, Grégoire T.; Gaucherand, Stéphanie; Gross, Nicolas; Hikosaka, Kouki; Jackson, Benjamin; Jung, Vincent; Kamiyama, Chiho; Katabuchi, Masatoshi; Kembel, Steven W.; Kichenin, Emilie; Kraft, Nathan J. B.; Lagerström, Anna; Bagousse-Pinguet, Yoann Le; Li, Yuanzhi; Mason, Norman; Messier, Julie; Nakashizuka, Tohru; Overton, Jacob McC.; Peltzer, Duane A.; Pérez-Ramos, I. M.; Pillar, Valério D.; Prentice, Honor C.; Richardson, Sarah; Sasaki, Takehiro; Schamp, Brandon S.; Schöb, Christian; Shipley, Bill; Sundqvist, Maja; Sykes, Martin T.; Vandewalle, Marie; Wardle, David A.","A global meta-analysis of the relative extent of intraspecific trait variation in plant communities","Ecology Letters","","1461-0248","10.1111/ele.12508","http://onlinelibrary.wiley.com/doi/10.1111/ele.12508/abstract","Recent studies have shown that accounting for intraspecific trait variation (ITV) may better address major questions in community ecology. However, a general picture of the relative extent of ITV compared to interspecific trait variation in plant communities is still missing. Here, we conducted a meta-analysis of the relative extent of ITV within and among plant communities worldwide, using a data set encompassing 629 communities (plots) and 36 functional traits. Overall, ITV accounted for 25% of the total trait variation within communities and 32% of the total trait variation among communities on average. The relative extent of ITV tended to be greater for whole-plant (e.g. plant height) vs. organ-level traits and for leaf chemical (e.g. leaf N and P concentration) vs. leaf morphological (e.g. leaf area and thickness) traits. The relative amount of ITV decreased with increasing species richness and spatial extent, but did not vary with plant growth form or climate. These results highlight global patterns in the relative importance of ITV in plant communities, providing practical guidelines for when researchers should include ITV in trait-based community and ecosystem studies.","2015-12-01","2017-12-20 04:39:20","2018-02-22 04:07:43","2017-12-20 04:39:20","1406-1419","","12","18","","Ecol Lett","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 186","","C:\Users\Steve\Zotero\storage\UFPI6MFI\ele12508-sup-0001-TableS1.docx; C:\Users\Steve\Zotero\storage\GXVKCCRG\ele12508-sup-0002-TableS2.docx; C:\Users\Steve\Zotero\storage\P9TWZNGR\ele12508-sup-0003-TableS3.docx; C:\Users\Steve\Zotero\storage\9ALVA4YS\ele12508-sup-0004-AppendixS1.doc; C:\Users\Steve\Zotero\storage\RVX76EAD\ele12508-sup-0005-AppendixS2.docx; C:\Users\Steve\Zotero\storage\8SLBEFGQ\ele12508-sup-0006-AppendixS3.doc; C:\Users\Steve\Zotero\storage\ETYD6GT4\ele12508-sup-0007-AppendixS4.docx; C:\Users\Steve\Zotero\storage\PJEZDK9A\Siefert et al. - 2015 - A global meta-analysis of the relative extent of i.pdf","","Scopus Search A: Meta-analysis","community ecology; functional diversity; interspecific variation; intraspecific variability; leaf trait; plant functional trait; trait-based ecology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B93NN8T6","journalArticle","2015","Taranu, Zofia E.; Gregory-Eaves, Irene; Leavitt, Peter R.; Bunting, Lynda; Buchaca, Teresa; Catalan, Jordi; Domaizon, Isabelle; Guilizzoni, Piero; Lami, Andrea; McGowan, Suzanne; Moorhouse, Heather; Morabito, Giuseppe; Pick, Frances R.; Stevenson, Mark A.; Thompson, Patrick L.; Vinebrooke, Rolf D.","Acceleration of cyanobacterial dominance in north temperate-subarctic lakes during the Anthropocene","Ecology Letters","","1461-0248","10.1111/ele.12420","http://onlinelibrary.wiley.com/doi/10.1111/ele.12420/abstract","Increases in atmospheric temperature and nutrients from land are thought to be promoting the expansion of harmful cyanobacteria in lakes worldwide, yet to date there has been no quantitative synthesis of long-term trends. To test whether cyanobacteria have increased in abundance over the past ~ 200 years and evaluate the relative influence of potential causal mechanisms, we synthesised 108 highly resolved sedimentary time series and 18 decadal-scale monitoring records from north temperate-subarctic lakes. We demonstrate that: (1) cyanobacteria have increased significantly since c. 1800 ce, (2) they have increased disproportionately relative to other phytoplankton, and (3) cyanobacteria increased more rapidly post c. 1945 ce. Variation among lakes in the rates of increase was explained best by nutrient concentration (phosphorus and nitrogen), and temperature was of secondary importance. Although cyanobacterial biomass has declined in some managed lakes with reduced nutrient influx, the larger spatio-temporal scale of sedimentary records show continued increases in cyanobacteria throughout the north temperate-subarctic regions.","2015-04-01","2017-12-20 04:45:01","2018-02-22 04:07:55","2017-12-20 04:45:01","375-384","","4","18","","Ecol Lett","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 217","","C:\Users\Steve\Zotero\storage\T5AW9BL6\ele12420-sup-0001-FigureS1-S6.pdf; C:\Users\Steve\Zotero\storage\JAVVCSYV\ele12420-sup-0002-TableS1-S3.pdf; C:\Users\Steve\Zotero\storage\38KWKYR8\Taranu et al. - 2015 - Acceleration of cyanobacterial dominance in north .pdf; C:\Users\Steve\Zotero\storage\29ZBP3UE\abstract.html","","Scopus Search A: Meta-analysis","meta-analysis; Anthropocene; climate change; cyanobacteria; eutrophication; long-term trends; paleolimnology; regression tree","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIIRBWBR","journalArticle","2017","Mori, Akira S.; Tatsumi, Shinichi; Gustafsson, Lena","Landscape properties affect biodiversity response to retention approaches in forestry","Journal of Applied Ecology","","1365-2664","10.1111/1365-2664.12888","http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12888/abstract","* Retention forestry, in which trees and tree patches are set aside at harvest to promote biodiversity, has been proven to have positive effects on biodiversity at the stand-level across different taxa. However, the effectiveness of retention approaches with regard to landscape composition remains unexplored. * We linked the effect sizes from two meta-analyses (31 case studies and 1050 comparisons from boreal and temperate regions), which quantified the effectiveness of biodiversity conservation as a result of retention practices, with the stand property of retention level (the percentage of trees retained after logging) and with Landsat-retrieved landscape data on forest cover and spatial configurations at three spatial scales (1, 3, and 5 km radii). * We found that, in addition to the fundamental importance of tree retention as a local-scale implementation for conservation, landscape properties were important in models to predict biodiversity responses. The effect sizes for species richness decreased with increasing patch contiguity within the landscapes at all spatial scales. Similar results were observed for abundance responses at the largest spatial scale. These results suggest that biodiversity responses to tree retention may be weaker in less fragmented landscapes, which is in agreement with theoretical and empirical findings from agricultural landscapes (‘the intermediate landscape-complexity hypothesis’). * The benefits of retention levels within a stand (percentage of trees retained) varied amongst species with different habitat requirements (forest-dependent, open habitat, and generalist species). Whilst this stand-level property was often an important determinant of biodiversity responses, models that included landscape properties as explanatory variables always performed better than those that were only based on the retention levels for all species groups. Thus, within-stand habitat conditions and landscape configurations likely have synergetic influences on biodiversity responses. * Synthesis and applications. In addition to the importance of stand-level properties, such as the action of retention harvesting itself and the number of trees retained, conditions in the surrounding landscape can simultaneously affect biodiversity in stands that are managed under retention forestry. Our study suggests that retention patches are particularly important in moderately fragmented landscapes. Retention practices could be less important in previously unlogged and less fragmented landscapes, where setting aside large reserves is a conservation priority. For highly fragmented landscapes, different actions of forest restoration, which are not limited to set-aside actions during logging, would be important. Our study emphasizes that carefully planned conservation schemes with a large-scale perspective, as well as local-scale actions, such as retention forestry, are critical for effective forest management and conservation planning.","2017-12-01","2017-12-20 04:53:22","2018-02-22 04:12:18","2017-12-20 04:53:22","1627-1637","","6","54","","J Appl Ecol","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 003","","C:\Users\Steve\Zotero\storage\4N5KIXXX\Mori et al. - 2017 - Landscape properties affect biodiversity response .pdf; C:\Users\Steve\Zotero\storage\VS5KQQWB\jpe12888-sup-0001-tables1.csv; C:\Users\Steve\Zotero\storage\2XU2CN4A\jpe12888-sup-0002-supinfo.docx; C:\Users\Steve\Zotero\storage\K6BVY7BR\abstract.html","","Scopus Search A: Meta-analysis","meta-analysis; biodiversity; forest certification; habitat fragmentation; land-sharing; landownership; landscape heterogeneity; nature-oriented forestry; retention forestry; set-aside action","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8JI4EJX","journalArticle","2017","Martin-StPaul, Nicolas; Delzon, Sylvain; Cochard, Hervé","Plant resistance to drought depends on timely stomatal closure","Ecology Letters","","1461-0248","10.1111/ele.12851","http://onlinelibrary.wiley.com/doi/10.1111/ele.12851/abstract","Stomata play a significant role in the Earth's water and carbon cycles, by regulating gaseous exchanges between the plant and the atmosphere. Under drought conditions, stomatal control of transpiration has long been thought to be closely coordinated with the decrease in hydraulic capacity (hydraulic failure due to xylem embolism). We tested this hypothesis by coupling a meta-analysis of functional traits related to the stomatal response to drought and embolism resistance with simulations from a soil–plant hydraulic model. We report here a previously unreported phenomenon: the existence of an absolute limit by which stomata closure must occur to avoid rapid death in drought conditions. The water potential causing stomatal closure and the xylem pressure at the onset of embolism formation were equal for only a small number of species, and the difference between these two traits (i.e. safety margins) increased continuously with increasing embolism resistance. Our findings demonstrate the need to revise current views about the functional coordination between stomata and hydraulic traits and provide a mechanistic framework for modeling plant mortality under drought conditions.","2017-11-01","2017-12-20 04:57:22","2018-02-22 04:12:10","2017-12-20 04:57:22","1437-1447","","11","20","","Ecol Lett","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 006","","C:\Users\Steve\Zotero\storage\DER662UP\DataBase.xlsx; C:\Users\Steve\Zotero\storage\J8FWKIRS\ele12851-sup-0001-AppendixS1.doc; C:\Users\Steve\Zotero\storage\QPJV8AKZ\ele12851-sup-0002-AppendixS2.doc; C:\Users\Steve\Zotero\storage\HFSYS96F\ele12851-sup-0003-AppendixS3.doc; C:\Users\Steve\Zotero\storage\W39YNRW4\ele12851-sup-0004-AppendixS4.doc; C:\Users\Steve\Zotero\storage\RR92VIG3\ele12851-sup-0005-Supinfo.doc; C:\Users\Steve\Zotero\storage\Z2IDWTY4\Martin-StPaul et al. - 2017 - Plant resistance to drought depends on timely stom.pdf; C:\Users\Steve\Zotero\storage\I2EIM739\abstract.html","","Scopus Search A: Meta-analysis","Dieback; drought; stomata; tree mortality; xylem embolism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQWE42D9","journalArticle","2017","Xu, Xiangtao; Medvigy, David; Joseph Wright, Stuart; Kitajima, Kaoru; Wu, Jin; Albert, Loren P.; Martins, Giordane A.; Saleska, Scott R.; Pacala, Stephen W.","Variations of leaf longevity in tropical moist forests predicted by a trait-driven carbon optimality model","Ecology Letters","","1461-0248","10.1111/ele.12804","http://onlinelibrary.wiley.com/doi/10.1111/ele.12804/abstract","Leaf longevity (LL) varies more than 20-fold in tropical evergreen forests, but it remains unclear how to capture these variations using predictive models. Current theories of LL that are based on carbon optimisation principles are challenging to quantitatively assess because of uncertainty across species in the ‘ageing rate:’ the rate at which leaf photosynthetic capacity declines with age. Here, we present a meta-analysis of 49 species across temperate and tropical biomes, demonstrating that the ageing rate of photosynthetic capacity is positively correlated with the mass-based carboxylation rate of mature leaves. We assess an improved trait-driven carbon optimality model with in situLL data for 105 species in two Panamanian forests. We show that our model explains over 40% of the cross-species variation in LL under contrasting light environment. Collectively, our results reveal how variation in LL emerges from carbon optimisation constrained by both leaf structural traits and abiotic environment.","2017-09-01","2017-12-20 05:06:20","2018-02-22 04:13:09","2017-12-20 05:06:20","1097-1106","","9","20","","Ecol Lett","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 016","","C:\Users\Steve\Zotero\storage\S3FTMXHT\ele12804-sup-0001-figs1-s8.docx; C:\Users\Steve\Zotero\storage\GVP97WKA\ele12804-sup-0002-appendixs1.docx; C:\Users\Steve\Zotero\storage\9FX68TFC\ele12804-sup-0003-appendixa2.xlsx; C:\Users\Steve\Zotero\storage\2G9XPXIG\ele12804-sup-0004-appendixs3.xlsx; C:\Users\Steve\Zotero\storage\WADRVGZB\ele12804-sup-0005-appendixs4.rar; C:\Users\Steve\Zotero\storage\CSWWC6II\Xu et al. - 2017 - Variations of leaf longevity in tropical moist for.pdf; C:\Users\Steve\Zotero\storage\A9TAN7FM\abstract.html","","Scopus Search A: Meta-analysis","Carbon optimisation; functional trait; leaf ageing; leaf economics spectrum; leaf longevity; modelling; photosynthesis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBPE3PQV","journalArticle","2017","Yang, Haishui; Zhang, Qian; Koide, Roger T.; Hoeksema, Jason D.; Tang, Jianjun; Bian, Xinmin; Hu, Shuijin; Chen, Xin","Taxonomic resolution is a determinant of biodiversity effects in arbuscular mycorrhizal fungal communities","Journal of Ecology","","1365-2745","10.1111/1365-2745.12655","http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12655/abstract","* Arbuscular mycorrhizal fungi (AMF) are key regulators of ecosystem processes, yet how their biodiversity works in ecosystems remains poorly understood. * We documented the extent to which taxonomic resolution influenced the effect of biodiversity of AMF taxa on plant performance (growth, nutrient uptake and stress tolerance) in a meta-analysis of 902 articles. * We found that the effect of biodiversity of AMF taxa depended on taxonomic resolution. Plant performance was positively promoted by AMF family richness, while no effect was found for fungal species richness. In addition, negative effect was found between AMF phylogenetic diversity and plant growth. This pattern can be explained by functional conservatism within AMF families and functional differentiation among AMF families. * Synthesis. Conservation of AMF communities to maintain a full complement of ecosystem functions requires the presence of diverse families and not simply diverse species within a family. This finding may be of key importance for the function of ecosystems under various environmental perturbations to which AMF families may respond differently.","2017-01-01","2017-12-20 05:15:38","2018-02-22 04:13:19","2017-12-20 05:15:38","219-228","","1","105","","J Ecol","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 059","","C:\Users\Steve\Zotero\storage\9AZV7C3Q\Additional file 2-Appendix S2-Database.xls; C:\Users\Steve\Zotero\storage\IJR9VA4I\Yang et al. - 2017 - Taxonomic resolution is a determinant of biodivers.pdf; C:\Users\Steve\Zotero\storage\Y77R47MF\jec12655-sup-0001-appendixs1.pdf; C:\Users\Steve\Zotero\storage\ZEN68VSS\abstract.html","","Scopus Search A: Meta-analysis","arbuscular mycorrhiza; competition; diversity; ecosystem function; functional complementarity; niche; taxonomic level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEKB34K6","journalArticle","2017","Junker, Robert R.; Kuppler, Jonas; Amo, Luisa; Blande, James D.; Borges, Renee M.; van Dam, Nicole M.; Dicke, Marcel; Dötterl, Stefan; Ehlers, Bodil K.; Etl, Florian; Gershenzon, Jonathan; Glinwood, Robert; Gols, Rieta; Groot, Astrid T.; Heil, Martin; Hoffmeister, Mathias; Holopainen, Jarmo K.; Jarau, Stefan; John, Lena; Kessler, Andre; Knudsen, Jette T.; Kost, Christian; Larue-Kontic, Anne-Amélie C.; Leonhardt, Sara Diana; Lucas-Barbosa, Dani; Majetic, Cassie J.; Menzel, Florian; Parachnowitsch, Amy L.; Pasquet, Rémy S.; Poelman, Erik H.; Raguso, Robert A.; Ruther, Joachim; Schiestl, Florian P.; Schmitt, Thomas; Tholl, Dorothea; Unsicker, Sybille B.; Verhulst, Niels; Visser, Marcel E.; Weldegergis, Berhane T.; Köllner, Tobias G.","Covariation and phenotypic integration in chemical communication displays: biosynthetic constraints and eco-evolutionary implications","New Phytologist","","1469-8137","10.1111/nph.14505","http://onlinelibrary.wiley.com/doi/10.1111/nph.14505/abstract","* Chemical communication is ubiquitous. The identification of conserved structural elements in visual and acoustic communication is well established, but comparable information on chemical communication displays (CCDs) is lacking. * We assessed the phenotypic integration of CCDs in a meta-analysis to characterize patterns of covariation in CCDs and identified functional or biosynthetically constrained modules. * Poorly integrated plant CCDs (i.e. low covariation between scent compounds) support the notion that plants often utilize one or few key compounds to repel antagonists or to attract pollinators and enemies of herbivores. Animal CCDs (mostly insect pheromones) were usually more integrated than those of plants (i.e. stronger covariation), suggesting that animals communicate via fixed proportions among compounds. Both plant and animal CCDs were composed of modules, which are groups of strongly covarying compounds. Biosynthetic similarity of compounds revealed biosynthetic constraints in the covariation patterns of plant CCDs. * We provide a novel perspective on chemical communication and a basis for future investigations on structural properties of CCDs. This will facilitate identifying modules and biosynthetic constraints that may affect the outcome of selection and thus provide a predictive framework for evolutionary trajectories of CCDs in plants and animals.","2017-03-01","2017-12-20 05:33:51","2018-02-22 04:11:47","2017-12-20 05:33:51","n/a-n/a","","","","","New Phytol","Covariation and phenotypic integration in chemical communication displays","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 066","","C:\Users\Steve\Zotero\storage\NHQH9U7D\Junker et al. - 2017 - Covariation and phenotypic integration in chemical.pdf; C:\Users\Steve\Zotero\storage\UDGYK92H\nph14505-sup-0001-NotesS1.pdf; C:\Users\Steve\Zotero\storage\RJP4DJJB\nph14505-sup-0002-NotesS2.pdf; C:\Users\Steve\Zotero\storage\QVUPU4CH\nph14505-sup-0003-NotesS3.xlsx; C:\Users\Steve\Zotero\storage\F3WVRNMS\abstract.html","","Scopus Search A: Meta-analysis","biosynthetic constraints; chemical communication; correlation network analysis; floral scents; phenotypic integration; vegetative scents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y59DXE7X","journalArticle","2016","Harts, Anna M. F.; Booksmythe, Isobel; Jennions, Michael D.","Mate guarding and frequent copulation in birds: A meta-analysis of their relationship to paternity and male phenotype","Evolution","","1558-5646","10.1111/evo.13081","http://onlinelibrary.wiley.com/doi/10.1111/evo.13081/abstract","In many birds, males are presumed to protect their paternity by closely guarding their mate or copulating frequently with her. Both these costly behaviors are assumed to reduce the risk and/or intensity of sperm competition. However, despite many studies on avian extra-pair paternity, it remains unclear how strongly these behaviors are related to fitness and other key life-history traits. Here, we conduct meta-analyses to address two questions. First, are mate guarding and/or frequent copulation positively correlated with a male's share of paternity at his nest? We find a significant positive correlation between both presumed paternity protection behaviors and paternity share. The relationship is, however, weak (r = 0.08–0.23). This is perhaps unsurprising if the risk of partner infidelity, hence the need to protect paternity, varies among males. For example, more attractive males might have less need to protect their paternity. Second, do males with higher indices of so-called male “quality” (phenotypic measures, usually subjectively defined by researchers as predictors of male attractiveness) exhibit lower levels of paternity protection behavior? We find a negative correlation between male quality and paternity protection. This finding might partly explain the weak relationship between paternity protection and paternity, although we discuss other, nonmutually exclusive possibilities.","2016-12-01","2017-12-20 05:38:15","2018-02-22 04:09:49","2017-12-20 05:38:15","2789-2808","","12","70","","Evolution","Mate guarding and frequent copulation in birds","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 074","","C:\Users\Steve\Zotero\storage\24UQFYIK\Ericson.tre; C:\Users\Steve\Zotero\storage\JEDT2D6C\evo13081-sup-0001-tables1.docx; C:\Users\Steve\Zotero\storage\K6XBPFGC\evo13081-sup-0002-figs1-s4tables2-s7.docx; C:\Users\Steve\Zotero\storage\IF74XCMF\Harts et al. - 2016 - Mate guarding and frequent copulation in birds A .pdf; C:\Users\Steve\Zotero\storage\RJPI2QTK\Hackett.tre; C:\Users\Steve\Zotero\storage\E2E88ZFG\Q1 standard and multilevel.R; C:\Users\Steve\Zotero\storage\4YZYSW9A\Q1All.csv; C:\Users\Steve\Zotero\storage\44KEMFE9\Q1Cat.csv; C:\Users\Steve\Zotero\storage\TTV7DDYG\Q1phylo.csv; C:\Users\Steve\Zotero\storage\MHXJF9E5\Q2 standard and multilevel.R; C:\Users\Steve\Zotero\storage\V2CFZBMK\Q2All.csv; C:\Users\Steve\Zotero\storage\87E4M5TS\Q2Cat.csv; C:\Users\Steve\Zotero\storage\GLQLJHIG\Q2phylo.csv; C:\Users\Steve\Zotero\storage\2752265M\abstract.html","","Scopus Search A: Meta-analysis","meta-analysis; quality; Copulation; guard; paternity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNLSK5SZ","journalArticle","2017","Doyle, Jeff J.; Sherman-Broyles, Sue","Double trouble: taxonomy and definitions of polyploidy","New Phytologist","","1469-8137","10.1111/nph.14276","http://onlinelibrary.wiley.com/doi/10.1111/nph.14276/abstract","","2017-01-01","2018-01-01 06:15:39","2018-02-22 04:20:15","2018-01-01 06:15:39","487-493","","2","213","","New Phytol","Double trouble","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 050","","C:\Users\Steve\Zotero\storage\2A5G565X\Doyle and Sherman-Broyles - 2017 - Double trouble taxonomy and definitions of polypl.pdf; C:\Users\Steve\Zotero\storage\AJAV9CLP\abstract.html","","Scopus Search A: Not MA - Response to previous MA","meta-analysis; allopolyploidy; autopolyploidy; disomic inheritance; Glycine; polyploidy; polysomic inheritance; taxonomy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIBDMF9L","journalArticle","2017","Rohner, Patrick T.; Teder, Tiit; Esperk, Toomas; Lüpold, Stefan; Blanckenhorn, Wolf U.","The evolution of male-biased sexual size dimorphism is associated with increased body size plasticity in males","Functional Ecology","","1365-2435","10.1111/1365-2435.13004","http://onlinelibrary.wiley.com/doi/10.1111/1365-2435.13004/abstract","* Sexual size dimorphism (SSD) can vary drastically across environments, demonstrating pronounced sex-specific plasticity. In insects, females are usually the larger and more plastic sex. However, the shortage of taxa with male-biased SSD hampers the assessment of whether the greater plasticity in females is driven by selection on size or represents an effect of the female reproductive role. Here, we specifically address the role of sex-specific plasticity of body size in the evolution of SSD reversals to disentangle sex and size effects. * We first investigate sex-specific body size plasticity in Sepsis punctum and Sepsis neocynipsea as two independent cases of intraspecific SSD reversals in sepsid flies. In both species, directional variation in SSD between populations is driven by stronger sexual selection on male size. Using controlled laboratory breeding, we find evidence for sex-specific plasticity and increased condition dependence of male size in populations with male-biased SSD, but not of female size in populations with female-biased SSD. * To extend the comparative scope, we next estimate sex-specific body size plasticity in eight additional fly species that differ in the direction of SSD under laboratory conditions. In all species with male-biased SSD we find males to be the more plastic sex, while this was only rarely the case in species with female-biased SSD, thus suggesting a more general trend in Diptera. * To examine the generality of this pattern in holometabolous insects, we combine our data with data from the literature in a meta-analysis. Again, male body size tends to be more plastic than female size when males are the larger sex, though female size is now also generally more plastic when females are larger. * Our findings indicate that primarily selection on size, rather than the reproductive role per se, drives the evolution of sex-specific body size plasticity. However, sepsid flies, and possibly Diptera in general, show a clear sexual asymmetry with greater male than female plasticity related to SSD, likely driven by strong sexual selection on males. Although further research controlling for phylogenetic and ecological confounding effects is needed, our findings are congruent with theory in suggesting that condition dependence plays a pivotal role in the evolution of sexual size dimorphism. A plain language summary is available for this article.","2017","2018-01-01 06:17:34","2018-02-22 04:12:29","2018-01-01 06:17:34","n/a-n/a","","","In press","","Funct Ecol","","","","","","","","en","","","","","Wiley Online Library","","SearchID: SSA SearchResultID: 069","","C:\Users\Steve\Zotero\storage\4R3V6YVC\DRYAD.xlsx; C:\Users\Steve\Zotero\storage\6XJ72C36\fec13004-sup-0001-summary.pdf; C:\Users\Steve\Zotero\storage\6F7UQT8A\fec13004-sup-0002-TableS1-S5.xlsx; C:\Users\Steve\Zotero\storage\QWKT26NJ\Rohner et al. - The evolution of male-biased sexual size dimorphis.pdf; C:\Users\Steve\Zotero\storage\RDUWZKAU\abstract.html","","Scopus Search A: Meta-analysis","adaptive canalization; condition dependence; Diptera; genic capture; Holometabola; sex-specific phenotypic plasticity; sexual size dimorphism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
