"column_name","compared","original","repro","percent_error","note"
"match_impact","KS1",91,91,0,"Original and reproduced values match exactly"
"match_impact","KS2",5,5,0,"Original and reproduced values match exactly"
"match_impact","KS3",50,51,2,"Original and reproduced values differ by less than 10%"
"match_impact","KS4",25,25,0,"Original and reproduced values match exactly"
"match_impact","KS5",86,87,1.16,"Original and reproduced values differ by less than 10%"
"match_impact","KS6",0,0,NA,"Cannot calculate result, original value is zero"
"match_impact","KS7",32,33,3.12,"Original and reproduced values differ by less than 10%"
"match_impact","KS8",11,11,0,"Original and reproduced values match exactly"
"match_impact","KS9",91,91,0,"Original and reproduced values match exactly"
"match_impact","KS10",25,25,0,"Original and reproduced values match exactly"
"match_impact","KS11",71,72,1.41,"Original and reproduced values differ by less than 10%"
"match_impact","KS12",46,47,2.17,"Original and reproduced values differ by less than 10%"
"match_impact","KS1",10,10,0,"Original and reproduced values match exactly"
"match_impact","KS2",81,81,0,"Original and reproduced values match exactly"
"match_impact","KS3",28,28,0,"Original and reproduced values match exactly"
"match_impact","KS4",54,54,0,"Original and reproduced values match exactly"
"match_impact","KS5",12,12,0,"Original and reproduced values match exactly"
"match_impact","KS6",94,94,0,"Original and reproduced values match exactly"
"match_impact","KS7",35,35,0,"Original and reproduced values match exactly"
"match_impact","KS8",70,70,0,"Original and reproduced values match exactly"
"match_impact","KS9",10,10,0,"Original and reproduced values match exactly"
"match_impact","KS10",54,54,0,"Original and reproduced values match exactly"
"match_impact","KS11",20,20,0,"Original and reproduced values match exactly"
"match_impact","KS12",39,39,0,"Original and reproduced values match exactly"
"match_impact","KS1",0,0,NA,"Cannot calculate result, original value is zero"
"match_impact","KS2",15,15,0,"Original and reproduced values match exactly"
"match_impact","KS3",23,22,4.35,"Original and reproduced values differ by less than 10%"
"match_impact","KS4",22,22,0,"Original and reproduced values match exactly"
"match_impact","KS5",3,2,33.33,"Original and reproduced values differ by at least 10%"
"match_impact","KS6",7,7,0,"Original and reproduced values match exactly"
"match_impact","KS7",34,33,2.94,"Original and reproduced values differ by less than 10%"
"match_impact","KS8",20,20,0,"Original and reproduced values match exactly"
"match_impact","KS9",0,0,NA,"Cannot calculate result, original value is zero"
"match_impact","KS10",22,22,0,"Original and reproduced values match exactly"
"match_impact","KS11",10,9,10,"Original and reproduced values differ by at least 10%"
"match_impact","KS12",16,15,6.25,"Original and reproduced values differ by less than 10%"
